taxi_id,bus1,time1,bus2,time2,bus3,time3,bus4,time4,bus5,time5
247,100131,208,100027.0,302.0,102279.0,412.0,100119.0,415.0,100132.0,419.0
249,401532,156,401371.0,164.0,401372.0,191.0,401608.0,213.0,903063.0,215.0
250,100244,47,100232.0,70.0,103613.0,133.0,100233.0,150.0,100243.0,150.0
251,200593,9,200529.0,66.0,200594.0,103.0,200528.0,137.0,200595.0,255.0
252,501176,178,904181.0,181.0,904183.0,194.0,501177.0,205.0,505130.0,209.0
254,101934,36,104291.0,40.0,102793.0,51.0,802131.0,56.0,102942.0,63.0
255,309446,146,308448.0,190.0,302289.0,194.0,302288.0,199.0,302314.0,218.0
256,305024,53,305013.0,110.0,305023.0,118.0,303163.0,158.0,305012.0,166.0
257,305728,212,305738.0,234.0,305736.0,285.0,305727.0,305.0,305739.0,346.0
258,503381,239,503437.0,240.0,503380.0,298.0,503438.0,312.0,503382.0,342.0
